*****路线数目：1
*****路线1步骤数目：6
*****路线1路线长度：20902米
*****路线1步骤1关键坐标数目：42
[119.348557,25.996298]
[119.350449,25.997036]
[119.351646,25.997496]
[119.352585,25.997877]
[119.355431,25.999002]
[119.355743,25.999149]
[119.356377,25.999496]
[119.356842,25.999813]
[119.357361,26.000231]
[119.359444,26.00214]
[119.359619,26.0023]
[119.359947,26.002579]
[119.360313,26.002831]
[119.360611,26.003017]
[119.361,26.003239]
[119.362373,26.003897]
[119.362656,26.004063]
[119.362984,26.004267]
[119.363281,26.004478]
[119.363655,26.00477]
[119.363853,26.004948]
[119.364037,26.005117]
[119.365891,26.007013]
[119.3685,26.00967]
[119.370399,26.01162]
[119.37085,26.012117]
[119.371346,26.012686]
[119.371681,26.013103]
[119.372032,26.013559]
[119.372414,26.01408]
[119.37278,26.014591]
[119.373764,26.016085]
[119.375351,26.018467]
[119.375885,26.019283]
[119.37693,26.020868]
[119.37825,26.022825]
[119.379288,26.024424]
[119.379929,26.025373]
[119.380295,26.025928]
[119.380486,26.026228]
[119.380585,26.026402]
[119.380867,26.026857]
*****路线1步骤2关键坐标数目：17
[119.380867,26.026857]
[119.381439,26.0277]
[119.381577,26.027943]
[119.381676,26.028126]
[119.381737,26.028316]
[119.381783,26.028498]
[119.381821,26.028776]
[119.381821,26.028954]
[119.381805,26.029133]
[119.38179,26.029276]
[119.381752,26.02948]
[119.381668,26.029736]
[119.381538,26.029991]
[119.381218,26.030586]
[119.381012,26.030825]
[119.380821,26.03105]
[119.380554,26.031397]
*****路线1步骤3关键坐标数目：10
[119.380554,26.031397]
[119.380486,26.031488]
[119.380226,26.031866]
[119.380035,26.032179]
[119.379929,26.032383]
[119.379875,26.032492]
[119.379372,26.033363]
[119.378822,26.034206]
[119.378471,26.034704]
[119.378197,26.035088]
*****路线1步骤4关键坐标数目：123
[119.378197,26.035088]
[119.378082,26.035248]
[119.377518,26.035955]
[119.377098,26.036449]
[119.376663,26.036936]
[119.376045,26.037565]
[119.37545,26.038191]
[119.373367,26.040325]
[119.37252,26.041199]
[119.371925,26.041788]
[119.36998,26.043772]
[119.369041,26.044739]
[119.368645,26.045177]
[119.368279,26.045643]
[119.367828,26.046307]
[119.367691,26.046537]
[119.367516,26.046837]
[119.36718,26.047487]
[119.366852,26.048273]
[119.366699,26.048681]
[119.366646,26.048859]
[119.36644,26.049658]
[119.366386,26.049904]
[119.366318,26.050304]
[119.366302,26.050529]
[119.366295,26.050716]
[119.366241,26.051319]
[119.366249,26.051796]
