*****路线数目：1
*****路线1步骤数目：7
*****路线1路线长度：20817米
*****路线1步骤1关键坐标数目：14
[119.302475,26.122223]
[119.302834,26.122187]
[119.304169,26.122061]
[119.305168,26.121988]
[119.306114,26.121906]
[119.307167,26.121801]
[119.308388,26.121655]
[119.308701,26.121628]
[119.309021,26.121597]
[119.31115,26.121407]
[119.312172,26.121277]
[119.312553,26.121206]
[119.31311,26.121059]
[119.313545,26.120934]
*****路线1步骤2关键坐标数目：20
[119.313545,26.120934]
[119.314201,26.120729]
[119.314621,26.120573]
[119.315224,26.120317]
[119.315895,26.119978]
[119.316696,26.119509]
[119.317085,26.119246]
[119.317703,26.11878]
[119.318176,26.118412]
[119.319199,26.117609]
[119.321823,26.115568]
[119.322823,26.114843]
[119.323418,26.114428]
[119.32428,26.113867]
[119.325073,26.113386]
[119.326073,26.112791]
[119.327255,26.112144]
[119.327881,26.111832]
[119.329567,26.111012]
[119.330627,26.110498]
*****路线1步骤3关键坐标数目：128
[119.330627,26.110498]
[119.333344,26.109198]
[119.334824,26.108486]
[119.336197,26.107895]
[119.33757,26.107347]
[119.338959,26.106867]
[119.33989,26.106581]
[119.340782,26.106316]
[119.341278,26.10618]
[119.342033,26.105976]
[119.342918,26.105764]
[119.343987,26.105556]
[119.344963,26.105394]
[119.345322,26.105347]
[119.346497,26.105221]
[119.347153,26.105169]
[119.348312,26.105101]
[119.349724,26.105047]
[119.352928,26.104904]
[119.358864,26.104649]
[119.360046,26.104601]
[119.360764,26.104553]
[119.361443,26.104479]
[119.362267,26.10434]
[119.362793,26.104214]
[119.363091,26.104132]
[119.363403,26.104036]
[119.363976,26.103832]
[119.364563,26.10358]
[119.36496,26.10338]
[119.365402,26.103142]
[119.365761,26.102926]
[119.366051,26.102726]
[119.366486,26.102404]
[119.366646,26.10227]
[119.366913,26.102049]
[119.367249,26.101736]
[119.367615,26.101362]
[119.367859,26.101089]
[119.368042,26.100876]
[119.368263,26.100576]
[119.3685,26.100229]
[119.368698,26.099918]
[119.368851,26.099644]
[119.369011,26.099323]
[119.369118,26.099133]
[119.36924,26.098864]
[119.369354,26.098568]
[119.369476,26.098221]
[119.369583,26.097874]
[119.36969,26.097456]
[119.36982,26.096727]
[119.369843,26.096411]
[119.369888,26.095911]
[119.369896,26.09553]
[119.369911,26.093794]
[119.369911,26.093094]
[119.369934,26.092951]
[119.369934,26.092134]
[119.369949,26.087574]
[119.369949,26.086107]
[119.369965,26.083937]
[119.369965,26.082718]
[119.369965,26.081268]
[119.369965,26.080343]
[119.36998,26.079367]
[119.370018,26.07852]
[119.370071,26.077808]
[119.370224,26.076271]
[119.370262,26.076107]
[119.370438,26.074923]
[119.370453,26.074808]
[119.370674,26.073647]
[119.370743,26.073299]
[119.37088,26.072704]
[119.3713,26.070612]
[119.371391,26.070139]
[119.37149,26.069557]
[119.371559,26.068893]
[119.371574,26.068022]
[119.371574,26.067869]
[119.371529,26.067301]
[119.371475,26.066774]
[119.371407,26.066206]
[119.3713,26.065559]
[119.371201,26.065187]
[119.371132,26.064875]
[119.370819,26.063919]
[119.370605,26.063364]
[119.370468,26.063042]
[119.370415,26.062904]
[119.370102,26.062252]
[119.36982,26.061659]
[119.369286,26.06053]
[119.36924,26.060442]
[119.369064,26.060074]
[119.368744,26.05941]
[119.36792,26.057695]
[119.367172,26.056128]
[119.36692,26.055569]
[119.366768,26.055195]
[119.366631,26.05481]
[119.366455,26.054224]
