*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：1730米
*****路线1步骤1关键坐标数目：27
[119.316589,26.087891]
[119.316528,26.087881]
[119.316368,26.087873]
[119.31604,26.087812]
[119.315155,26.087673]
[119.315056,26.087643]
[119.314377,26.087564]
[119.31295,26.087418]
[119.310486,26.087149]
[119.309029,26.087006]
[119.308571,26.086958]
[119.308258,26.086924]
[119.308136,26.086914]
[119.307861,26.086866]
[119.307411,26.086819]
[119.307068,26.086788]
[119.306694,26.086758]
[119.305954,26.086666]
[119.305229,26.086584]
[119.305115,26.086576]
[119.303795,26.086445]
[119.302856,26.086349]
[119.302361,26.086294]
[119.301025,26.086151]
[119.300224,26.086081]
[119.299507,26.085995]
[119.299339,26.085981]
