*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：1729米
*****路线1步骤1关键坐标数目：28
[119.299179,26.085894]
[119.299232,26.085899]
[119.299332,26.085899]
[119.299789,26.085951]
[119.300339,26.086012]
[119.300842,26.08606]
[119.302376,26.086216]
[119.302864,26.086241]
[119.303802,26.086332]
[119.305122,26.086472]
[119.305237,26.086475]
[119.305969,26.086557]
[119.306526,26.086624]
[119.306702,26.086649]
[119.307083,26.0867]
[119.307411,26.086727]
[119.307899,26.086771]
[119.308174,26.086792]
[119.308296,26.086805]
[119.308594,26.086836]
[119.309059,26.086884]
[119.310226,26.087019]
[119.310501,26.087044]
[119.312965,26.087313]
[119.313278,26.087353]
[119.314354,26.087456]
[119.315155,26.087543]
[119.316406,26.087738]
