*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：2203米
*****路线1步骤1关键坐标数目：35
[119.291374,26.072348]
[119.291023,26.072266]
[119.290802,26.072231]
[119.290535,26.072214]
[119.290207,26.072197]
[119.289673,26.072184]
[119.28936,26.072187]
[119.288345,26.072235]
[119.287598,26.072266]
[119.287376,26.072256]
[119.28701,26.072235]
[119.28614,26.072166]
[119.285919,26.072126]
[119.285622,26.072062]
[119.285194,26.071932]
[119.284981,26.071861]
[119.284477,26.071636]
[119.283836,26.071333]
[119.283386,26.071119]
[119.282188,26.07053]
[119.281235,26.070139]
[119.279663,26.069588]
[119.279083,26.069384]
[119.279007,26.069345]
[119.278595,26.069162]
[119.27771,26.068716]
[119.276787,26.068251]
[119.276184,26.067924]
[119.275856,26.067726]
[119.275574,26.067547]
[119.27446,26.066767]
[119.273926,26.066393]
[119.273293,26.065924]
[119.272705,26.065481]
[119.272186,26.065086]
*****路线1步骤2关键坐标数目：3
[119.272186,26.065086]
[119.272026,26.06497]
[119.271629,26.064674]
