*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：2202米
*****路线1步骤1关键坐标数目：38
[119.271729,26.064627]
[119.272087,26.064896]
[119.27224,26.065014]
[119.272758,26.065409]
[119.273361,26.065842]
[119.274025,26.066341]
[119.274529,26.066692]
[119.275642,26.067461]
[119.275902,26.067638]
[119.27623,26.067835]
[119.276825,26.068155]
[119.27774,26.068602]
[119.278595,26.069002]
[119.27906,26.069223]
[119.279152,26.069258]
[119.27951,26.069418]
[119.280365,26.069714]
[119.280869,26.069874]
[119.281433,26.070095]
[119.282242,26.070438]
[119.28344,26.071007]
[119.283997,26.071289]
[119.284195,26.071384]
[119.285034,26.071779]
[119.285225,26.07185]
[119.285553,26.071936]
[119.286041,26.072041]
[119.286346,26.072092]
[119.287155,26.072174]
[119.287598,26.072201]
[119.287827,26.072201]
[119.28833,26.072161]
[119.28904,26.072119]
[119.289528,26.072113]
[119.289841,26.072123]
[119.290764,26.072178]
[119.291054,26.072201]
[119.291504,26.072262]
