*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：1181米
*****路线1步骤1关键坐标数目：29
[119.302032,26.076216]
[119.301636,26.07625]
[119.30146,26.07625]
[119.301186,26.076202]
[119.300987,26.076145]
[119.300827,26.07609]
[119.300705,26.076029]
[119.300522,26.07592]
[119.300255,26.075699]
[119.300064,26.075556]
[119.299736,26.075352]
[119.299164,26.075005]
[119.298752,26.074757]
[119.298248,26.074514]
[119.297729,26.074293]
[119.29689,26.07395]
[119.296265,26.073698]
[119.295784,26.073477]
[119.295525,26.073372]
[119.295403,26.073317]
[119.294792,26.072956]
[119.294342,26.072643]
[119.294113,26.072521]
[119.293823,26.07243]
[119.293488,26.072382]
[119.293327,26.072371]
[119.293121,26.072378]
[119.292336,26.07246]
[119.292046,26.07247]
*****路线1步骤2关键坐标数目：4
[119.292046,26.07247]
[119.291771,26.072439]
[119.291496,26.072378]
[119.291374,26.072348]
