*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：1172米
*****路线1步骤1关键坐标数目：27
[119.291451,26.072252]
[119.291519,26.072262]
[119.291641,26.072275]
[119.29184,26.072283]
[119.292076,26.072279]
[119.293091,26.072227]
[119.293175,26.072231]
[119.293274,26.072248]
[119.293488,26.07233]
[119.293922,26.072405]
[119.29406,26.072443]
[119.294128,26.072483]
[119.294373,26.072609]
[119.294731,26.072838]
[119.295448,26.073273]
[119.295555,26.07333]
[119.296303,26.073647]
[119.296921,26.073902]
[119.297707,26.074223]
[119.298256,26.07445]
[119.298782,26.074688]
[119.299263,26.074953]
[119.299774,26.075287]
[119.300316,26.07563]
[119.300636,26.075869]
[119.300835,26.075968]
[119.301086,26.076059]
*****路线1步骤2关键坐标数目：5
[119.301086,26.076059]
[119.301399,26.07612]
[119.301666,26.076134]
[119.301926,26.076115]
[119.302078,26.076115]
