*****路线数目：1
*****路线1步骤数目：8
*****路线1路线长度：8299米
*****路线1步骤1关键坐标数目：13
[119.308846,26.108923]
[119.309685,26.108997]
[119.309875,26.109007]
[119.310349,26.109049]
[119.311424,26.109127]
[119.312271,26.109188]
[119.3125,26.109198]
[119.312706,26.109198]
[119.312897,26.109188]
[119.313187,26.109158]
[119.31366,26.109089]
[119.313873,26.109032]
[119.314636,26.108814]
*****路线1步骤2关键坐标数目：15
[119.314636,26.108814]
[119.31559,26.108555]
[119.316925,26.108168]
[119.317307,26.108055]
[119.318542,26.1077]
[119.31916,26.107491]
[119.319534,26.107357]
[119.319862,26.107248]
[119.320274,26.107088]
[119.321648,26.106489]
[119.322052,26.106302]
[119.322327,26.106167]
[119.322655,26.105982]
[119.323586,26.105387]
[119.324043,26.105074]
*****路线1步骤3关键坐标数目：5
[119.324043,26.105074]
[119.324356,26.104853]
[119.326591,26.103315]
[119.328606,26.101957]
[119.328957,26.101746]
*****路线1步骤4关键坐标数目：16
[119.328957,26.101746]
[119.329117,26.101641]
[119.329285,26.101494]
[119.329498,26.101294]
[119.329597,26.101181]
[119.329674,26.101103]
[119.329773,26.100933]
[119.33004,26.100512]
[119.33033,26.099987]
[119.330452,26.09964]
[119.330544,26.09934]
[119.330582,26.099194]
[119.33062,26.098789]
[119.330643,26.098391]
[119.330727,26.09651]
[119.330765,26.095434]
*****路线1步骤5关键坐标数目：33
[119.330765,26.095434]
[119.330811,26.095287]
[119.330879,26.093842]
[119.330917,26.093447]
[119.331001,26.093124]
[119.331039,26.093016]
[119.331123,26.092821]
[119.3312,26.092669]
[119.331284,26.092512]
[119.331375,26.0924]
[119.331566,26.092144]
[119.331665,26.092039]
[119.331909,26.091766]
[119.33342,26.090178]
[119.333626,26.08996]
[119.333748,26.089813]
[119.333855,26.08967]
[119.333977,26.089483]
[119.334091,26.089272]
[119.334183,26.089031]
[119.334213,26.088963]
[119.33429,26.08872]
[119.334335,26.088511]
[119.334358,26.088299]
[119.33445,26.086601]
[119.334465,26.086445]
[119.334427,26.086363]
[119.334442,26.085941]
[119.33448,26.085434]
[119.334488,26.085175]
[119.334511,26.084879]
[119.334534,26.084345]
[119.334549,26.083858]
*****路线1步骤6关键坐标数目：19
[119.334549,26.083858]
[119.334595,26.083776]
[119.33474,26.080959]
[119.334778,26.080296]
[119.334839,26.07914]
[119.334793,26.078962]
[119.334808,26.078676]
[119.334892,26.077543]
[119.334923,26.077013]
[119.334946,26.076876]
[119.335106,26.074297]
[119.335258,26.071081]
[119.335236,26.07098]
[119.335236,26.07089]
[119.335243,26.070826]
[119.335289,26.0697]
[119.335304,26.069336]
[119.335327,26.068542]
[119.33535,26.068012]
*****路线1步骤7关键坐标数目：10
[119.33535,26.068012]
[119.335411,26.06789]
[119.335503,26.066362]
[119.335625,26.063719]
[119.335617,26.063612]
[119.335625,26.063181]
[119.335648,26.062725]
[119.335732,26.061245]
[119.335762,26.060394]
[119.335785,26.060204]
*****路线1步骤8关键坐标数目：15
[119.335785,26.060204]
[119.335808,26.060139]
[119.33593,26.057943]
[119.336021,26.055973]
[119.336044,26.055569]
[119.33606,26.055187]
[119.336113,26.054289]
[119.336128,26.053846]
[119.336121,26.053576]
[119.336075,26.052956]
[119.336044,26.0527]
[119.335976,26.052309]
[119.335953,26.052179]
[119.335472,26.049969]
[119.335136,26.048481]



*****路线数目：1
*****路线1步骤数目：3
*****路线1路线长度：7603米
*****路线1步骤1关键坐标数目：45
[119.335136,26.048481]
[119.335083,26.048246]
[119.335014,26.047951]
[119.334854,26.047222]
[119.334778,26.046722]
[119.334702,26.045912]
[119.334702,26.045599]
[119.334732,26.044388]
[119.334724,26.043772]
[119.33474,26.042721]
[119.33474,26.042461]
[119.334755,26.041632]
[119.334755,26.041241]
[119.334755,26.040499]
[119.334755,26.040287]
[119.334732,26.039671]
[119.33474,26.039358]
[119.334778,26.038946]
[119.334824,26.038446]
[119.334839,26.037933]
[119.334862,26.036867]
[119.334862,26.036793]
[119.334892,26.034674]
[119.334923,26.033316]
[119.334946,26.032557]
[119.334991,26.03161]
[119.335068,26.031059]
[119.33519,26.030546]
[119.335381,26.029839]
[119.335556,26.02914]
[119.335884,26.027878]
[119.335999,26.027491]
[119.336288,26.026428]
[119.336342,26.02619]
[119.336479,26.025534]
[119.336632,26.024904]
[119.336845,26.024336]
[119.336929,26.024197]
[119.337051,26.024033]
[119.33725,26.023806]
[119.337448,26.023554]
[119.33757,26.023417]
[119.338074,26.022882]
[119.338951,26.021923]
[119.339111,26.021767]
*****路线1步骤2关键坐标数目：11
[119.339111,26.021767]
[119.339149,26.021688]
[119.339165,26.021654]
[119.339188,26.021515]
[119.339165,26.021423]
[119.339073,26.021246]
[119.338974,26.021198]
[119.338646,26.021086]
[119.33799,26.020889]
[119.337624,26.020811]
[119.336823,26.020712]
*****路线1步骤3关键坐标数目：41
[119.336823,26.020712]
[119.33654,26.020569]
[119.335281,26.020491]
[119.333588,26.020395]
[119.328384,26.020082]
[119.326019,26.019943]
[119.325317,26.019926]
[119.324524,26.019936]
[119.324043,26.019953]
[119.323441,26.019991]
[119.322823,26.020039]
[119.322121,26.020109]
[119.320694,26.020222]
[119.320053,26.020256]
[119.318779,26.020283]
[119.317848,26.02026]
[119.313438,26.020121]
[119.312981,26.020117]
[119.311996,26.020126]
[119.31115,26.020151]
[119.310745,26.020178]
[119.309723,26.020266]
[119.308525,26.020433]
[119.307739,26.020582]
[119.307014,26.020733]
[119.304726,26.021267]
[119.304176,26.021379]
[119.30378,26.021441]
[119.303421,26.021481]
[119.302879,26.021511]
[119.302155,26.021515]
[119.300034,26.021494]
[119.297501,26.021471]
[119.297058,26.021481]
[119.296661,26.021519]
[119.296181,26.021593]
[119.295746,26.021692]
[119.295525,26.021763]
[119.295227,26.021858]
[119.29493,26.021971]
[119.294724,26.022062]

*****路线数目：1
*****路线1步骤数目：6
*****路线1路线长度：12293米
*****路线1步骤1关键坐标数目：83
[119.294716,26.022066]
[119.294548,26.022148]
[119.294128,26.022373]
[119.293907,26.022509]
[119.293701,26.022655]
[119.293434,26.022865]
[119.293159,26.023104]
[119.292755,26.023529]
[119.292648,26.023668]
[119.292397,26.023989]
[119.292206,26.024302]
[119.292068,26.024553]
[119.291962,26.024775]
[119.291809,26.025148]
[119.291138,26.027092]
[119.290367,26.029327]
[119.290154,26.029922]
[119.289963,26.030451]
[119.289841,26.030733]
[119.289421,26.031675]
[119.289162,26.032175]
[119.288864,26.032713]
[119.288551,26.033237]
[119.287933,26.034122]
[119.287544,26.034657]
[119.287117,26.035187]
[119.28656,26.035816]
[119.285583,26.036949]
[119.284889,26.03776]
[119.284355,26.038389]
[119.283745,26.03908]
[119.283386,26.039526]
[119.283195,26.039839]
[119.283073,26.04006]
[119.282967,26.040321]
[119.282883,26.040586]
[119.282829,26.040812]
[119.282799,26.04109]
[119.282799,26.041523]
[119.282806,26.041771]
[119.282845,26.042053]
[119.282898,26.042274]
[119.28302,26.042635]
[119.283157,26.042921]
[119.283211,26.043037]
[119.283264,26.043125]
[119.283379,26.043316]
[119.283669,26.043776]
[119.284546,26.045044]
[119.28611,26.047205]
[119.287987,26.049826]
[119.288368,26.050373]
[119.288872,26.051054]
[119.289421,26.05184]
[119.289581,26.052105]
[119.289673,26.052292]
[119.289742,26.052462]
[119.289825,26.052717]
[119.289879,26.052891]
[119.289917,26.053078]
[119.289948,26.053268]
[119.289963,26.053459]
[119.289963,26.053659]
[119.289963,26.053915]
[119.289948,26.054258]
[119.289825,26.056402]
[119.28981,26.056549]
[119.289772,26.057739]
[119.289688,26.05937]
[119.289619,26.060612]
[119.289566,26.061172]
[119.289513,26.062113]
[119.289497,26.062803]
[119.289444,26.063858]
[119.289421,26.064054]
[119.289375,26.064249]
[119.289322,26.064514]
[119.289238,26.064735]
[119.2892,26.064831]
[119.289009,26.065273]
[119.288628,26.065933]
[119.288383,26.066345]
[119.288208,26.066645]
*****路线1步骤2关键坐标数目：20
[119.288208,26.066645]
[119.288139,26.066692]
[119.287407,26.06793]
[119.287071,26.068472]
[119.287033,26.068546]
[119.286346,26.06971]
[119.285866,26.070534]
[119.285469,26.071215]
[119.28521,26.071749]
[119.28508,26.072052]
[119.284859,26.072657]
[119.284805,26.072851]
[119.284584,26.073637]
[119.284584,26.073776]
[119.284462,26.074162]
[119.284218,26.0751]
[119.284042,26.07576]
[119.283745,26.076948]
[119.283241,26.079037]
[119.283104,26.079596]
*****路线1步骤3关键坐标数目：30
[119.283104,26.079596]
[119.282936,26.080221]
[119.282829,26.080612]
[119.282623,26.08149]
[119.282562,26.081789]
[119.282509,26.08214]
[119.282448,26.082644]
[119.282326,26.084431]
[119.28231,26.084665]
[119.282303,26.084831]
[119.282295,26.085077]
[119.282242,26.086145]
[119.282219,26.086632]
[119.282219,26.087057]
[119.282242,26.087139]
[119.282219,26.087683]
[119.282188,26.088364]
[119.282204,26.088884]
[119.282242,26.089211]
[119.282326,26.089779]
[119.282372,26.090038]
[119.282379,26.090134]
[119.282486,26.090864]
[119.282532,26.091116]
[119.28257,26.091337]
[119.2826,26.091566]
[119.282616,26.091709]
[119.282616,26.09181]
[119.2826,26.091957]
[119.282585,26.0921]
*****路线1步骤4关键坐标数目：3
[119.282585,26.0921]
[119.28257,26.09226]
[119.282555,26.09244]
*****路线1步骤5关键坐标数目：45
[119.282555,26.09244]
[119.282516,26.092634]
[119.28241,26.093046]
[119.282295,26.093485]
[119.282158,26.093897]
[119.282066,26.094267]
[119.282005,26.094496]
[119.281967,26.094601]
[119.281754,26.095322]
[119.281731,26.09543]
[119.281601,26.095881]
[119.281433,26.096418]
[119.281334,26.096767]
[119.281303,26.096962]
[119.281288,26.097162]
[119.281265,26.097374]
[119.281296,26.097786]
[119.281364,26.098125]
[119.281487,26.098541]
[119.281609,26.09881]
[119.281754,26.099068]
[119.281876,26.099245]
[119.281998,26.099396]
[119.282066,26.099497]
[119.282509,26.1]
[119.282913,26.100456]
[119.283142,26.100685]
[119.283592,26.10112]
[119.284424,26.101763]
[119.287743,26.104088]
[119.288994,26.104948]
[119.289322,26.105152]
[119.289459,26.105251]
[119.289612,26.105347]
[119.290138,26.105717]
[119.291733,26.106833]
[119.291908,26.106962]
[119.292137,26.107113]
[119.29232,26.107239]
[119.292511,26.107353]
[119.292656,26.107426]
[119.292931,26.107534]
[119.293053,26.107574]
[119.293457,26.10766]
[119.294205,26.107765]
*****路线1步骤6关键坐标数目：17
[119.294205,26.107765]
[119.294403,26.107817]
[119.296196,26.108055]
[119.296631,26.108109]
[119.297127,26.108156]
[119.298958,26.108282]
[119.299294,26.108303]
[119.299431,26.108282]
[119.301056,26.108389]
[119.301132,26.108395]
[119.302193,26.108463]
[119.30278,26.108507]
[119.30291,26.108545]
[119.303177,26.108559]
[119.308525,26.108936]
[119.308678,26.10894]
[119.308746,26.108929]
