*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：4421米
*****路线1步骤1关键坐标数目：79
[119.298431,26.089254]
[119.298714,26.088095]
[119.298882,26.087456]
[119.299011,26.086876]
[119.299149,26.086281]
[119.299217,26.085976]
[119.299232,26.085899]
[119.299355,26.085438]
[119.299477,26.084988]
[119.299568,26.084627]
[119.299599,26.084501]
[119.299774,26.083668]
[119.29995,26.08297]
[119.30014,26.082253]
[119.300255,26.081841]
[119.300484,26.081072]
[119.300583,26.080738]
[119.300728,26.080248]
[119.301216,26.078812]
[119.301407,26.078224]
[119.301559,26.077726]
[119.301788,26.077002]
[119.301872,26.076757]
[119.301895,26.076662]
[119.301941,26.076498]
[119.302048,26.076216]
[119.302094,26.076115]
[119.302162,26.075937]
[119.302254,26.075712]
[119.302444,26.075226]
[119.302658,26.074631]
[119.302933,26.073803]
[119.303123,26.073238]
[119.303215,26.072952]
[119.303314,26.072527]
[119.303452,26.072004]
[119.30349,26.071871]
[119.303574,26.071606]
[119.303596,26.071545]
[119.30394,26.070309]
[119.303955,26.070278]
[119.30439,26.069036]
[119.304543,26.068584]
[119.305,26.067045]
[119.305016,26.067019]
[119.305275,26.066198]
[119.305748,26.064569]
[119.305901,26.064028]
[119.305946,26.06381]
[119.305969,26.063633]
[119.305969,26.063545]
[119.305901,26.063013]
[119.305466,26.06049]
[119.305374,26.059921]
[119.305367,26.059753]
[119.305367,26.059362]
[119.305397,26.059155]
[119.305443,26.058985]
[119.305504,26.058815]
[119.305618,26.058573]
[119.305756,26.058355]
[119.305901,26.058172]
[119.306282,26.057705]
[119.306694,26.057144]
[119.306992,26.056736]
[119.30703,26.056679]
[119.307182,26.056446]
[119.30777,26.05562]
[119.308083,26.055178]
[119.308128,26.055113]
[119.30835,26.054804]
[119.308922,26.05402]
[119.308945,26.053984]
[119.309479,26.053259]
[119.309502,26.053238]
[119.310104,26.052439]
[119.310143,26.052404]
[119.310646,26.051744]
[119.31076,26.051558]
