*****路线数目：1
*****路线1步骤数目：3
*****路线1路线长度：5810米
*****路线1步骤1关键坐标数目：18
[119.320938,26.052526]
[119.3209,26.053347]
[119.320854,26.053864]
[119.320854,26.05398]
[119.320801,26.054575]
[119.320778,26.055025]
[119.320747,26.055304]
[119.320717,26.055752]
[119.320618,26.057114]
[119.320587,26.05759]
[119.320572,26.05789]
[119.320518,26.058529]
[119.32045,26.059406]
[119.320374,26.060585]
[119.320366,26.060652]
[119.320274,26.061792]
[119.320236,26.062426]
[119.320175,26.063164]
*****路线1步骤2关键坐标数目：4
[119.320175,26.063164]
[119.320122,26.063282]
[119.319893,26.06658]
[119.319847,26.067131]
*****路线1步骤3关键坐标数目：68
[119.319847,26.067131]
[119.319878,26.06724]
[119.319824,26.068512]
[119.319801,26.069136]
[119.319794,26.06922]
[119.319756,26.069614]
[119.31974,26.069809]
[119.319618,26.071684]
[119.31958,26.072248]
[119.319496,26.073406]
[119.319427,26.074522]
[119.319344,26.075924]
[119.319321,26.076462]
[119.319305,26.076689]
[119.319283,26.077148]
[119.319199,26.07839]
[119.31913,26.079792]
[119.319115,26.080273]
[119.319099,26.080469]
[119.319077,26.080803]
[119.319077,26.080912]
[119.319031,26.081232]
[119.31897,26.081545]
[119.318916,26.081783]
[119.318855,26.081949]
[119.318695,26.08234]
[119.318611,26.082474]
[119.318108,26.083195]
[119.317719,26.083784]
[119.31736,26.084322]
[119.317223,26.084661]
[119.317116,26.085012]
[119.316956,26.08576]
[119.316788,26.086594]
[119.316635,26.087374]
[119.316612,26.087456]
[119.316544,26.087778]
[119.316528,26.087881]
[119.316467,26.088133]
[119.316261,26.089075]
[119.316147,26.089636]
[119.316002,26.090395]
[119.315849,26.091093]
[119.315506,26.092651]
[119.315414,26.093063]
[119.315315,26.093559]
[119.315208,26.094101]
[119.31517,26.094454]
[119.31517,26.094566]
[119.315201,26.094784]
[119.315224,26.094839]
[119.315254,26.094957]
[119.315323,26.095142]
[119.315414,26.095343]
[119.315521,26.09553]
[119.31601,26.096159]
[119.316093,26.096281]
[119.316216,26.096472]
[119.316406,26.09687]
[119.316513,26.097118]
[119.316589,26.097353]
[119.316658,26.097609]
[119.316666,26.097881]
[119.316643,26.099991]
[119.316612,26.10177]
[119.316597,26.102066]
[119.316582,26.102852]
[119.316574,26.104189]
