*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：3057米
*****路线1步骤1关键坐标数目：35
[119.345871,26.061737]
[119.345901,26.062088]
[119.345947,26.062248]
[119.346458,26.063564]
[119.347511,26.066063]
[119.347656,26.06638]
[119.348175,26.067417]
[119.349152,26.069384]
[119.349205,26.069475]
[119.350311,26.071793]
[119.350464,26.072096]
[119.350555,26.0723]
[119.350624,26.072517]
[119.350655,26.072569]
[119.350708,26.072687]
[119.3508,26.073004]
[119.351051,26.074076]
[119.351349,26.075451]
[119.351486,26.076042]
[119.351646,26.076849]
[119.351913,26.078081]
[119.35215,26.079254]
[119.352379,26.080317]
[119.352554,26.081215]
[119.352638,26.081568]
[119.352722,26.082148]
[119.352737,26.082266]
[119.352753,26.082766]
[119.35276,26.083368]
[119.352737,26.084887]
[119.352722,26.08506]
[119.352707,26.085768]
[119.352692,26.08605]
[119.352692,26.087856]
[119.352707,26.088343]
