*****路线数目：1
*****路线1步骤数目：7
*****路线1路线长度：3291米
*****路线1步骤1关键坐标数目：13
[119.318123,26.110144]
[119.317986,26.110035]
[119.317902,26.109827]
[119.317673,26.109341]
[119.317467,26.108889]
[119.317207,26.108299]
[119.317123,26.108042]
[119.317078,26.107803]
[119.317047,26.107725]
[119.316956,26.107262]
[119.316681,26.105915]
[119.316658,26.105738]
[119.316559,26.105135]
*****路线1步骤2关键坐标数目：37
[119.316559,26.105135]
[119.316338,26.104874]
[119.316254,26.104771]
[119.316177,26.10471]
[119.316116,26.10467]
[119.315834,26.10453]
[119.315315,26.104397]
[119.314636,26.104206]
[119.313988,26.104071]
[119.312653,26.103758]
[119.312325,26.103693]
[119.312012,26.103638]
[119.311699,26.103563]
[119.310646,26.103312]
[119.308922,26.102913]
[119.30864,26.102839]
[119.306702,26.102392]
[119.306473,26.102335]
[119.30619,26.102278]
[119.306053,26.102261]
[119.304771,26.101984]
[119.304443,26.101906]
[119.304008,26.101828]
[119.30307,26.101624]
[119.302444,26.101488]
[119.301613,26.101328]
[119.300728,26.101158]
[119.299286,26.100872]
[119.299011,26.100807]
[119.298729,26.100729]
[119.298538,26.100647]
[119.298347,26.100565]
[119.297867,26.100296]
[119.297417,26.100048]
[119.297028,26.099892]
[119.296295,26.099627]
[119.296219,26.099558]
*****路线1步骤3关键坐标数目：2
[119.296219,26.099558]
[119.295403,26.099171]
*****路线1步骤4关键坐标数目：3
[119.295403,26.099171]
[119.295311,26.099133]
[119.295135,26.099041]
*****路线1步骤5关键坐标数目：2
[119.295135,26.099041]
[119.294426,26.098671]
*****路线1步骤6关键坐标数目：4
[119.294426,26.098671]
[119.293869,26.098381]
[119.29351,26.098204]
[119.292679,26.097912]
*****路线1步骤7关键坐标数目：9
[119.292679,26.097912]
[119.292534,26.098082]
[119.292381,26.098211]
[119.292274,26.098347]
[119.292221,26.098429]
[119.292015,26.098749]
[119.291855,26.099024]
[119.291786,26.099115]
[119.291702,26.099228]
