*****路线数目：1
*****路线1步骤数目：6
*****路线1路线长度：3546米
*****路线1步骤1关键坐标数目：8
[119.291595,26.099184]
[119.291893,26.09869]
[119.292168,26.098282]
[119.292221,26.098194]
[119.292313,26.098085]
[119.292389,26.098007]
[119.29245,26.097973]
[119.292679,26.097912]
*****路线1步骤2关键坐标数目：42
[119.292679,26.097912]
[119.29351,26.098204]
[119.293869,26.098381]
[119.294426,26.098671]
[119.295135,26.099041]
[119.295311,26.099133]
[119.295403,26.099171]
[119.296219,26.099558]
[119.296288,26.099571]
[119.296333,26.099579]
[119.296852,26.099749]
[119.29734,26.09993]
[119.297859,26.100204]
[119.298317,26.100456]
[119.298538,26.100559]
[119.299042,26.100742]
[119.300583,26.101059]
[119.301636,26.101273]
[119.302406,26.101437]
[119.303093,26.101572]
[119.304047,26.101753]
[119.304428,26.101831]
[119.304794,26.101906]
[119.306061,26.102171]
[119.306198,26.102192]
[119.306435,26.102236]
[119.306511,26.102253]
[119.308777,26.102781]
[119.308968,26.102825]
[119.310677,26.103237]
[119.311729,26.103481]
[119.312065,26.103554]
[119.312378,26.103611]
[119.312691,26.103672]
[119.314079,26.103989]
[119.314751,26.104149]
[119.315704,26.104414]
[119.315826,26.104431]
[119.316078,26.104404]
[119.316254,26.104357]
[119.31633,26.104328]
[119.31646,26.10425]
*****路线1步骤3关键坐标数目：13
[119.316559,26.104353]
[119.316711,26.105394]
[119.31678,26.105789]
[119.316803,26.105921]
[119.317062,26.107252]
[119.317162,26.1077]
[119.317238,26.108011]
[119.317314,26.108269]
[119.317596,26.108824]
[119.317787,26.109201]
[119.318039,26.109753]
[119.318123,26.109983]
[119.318146,26.110151]
*****路线1步骤4关键坐标数目：3
[119.318146,26.110151]
[119.318314,26.110209]
[119.318405,26.110365]
*****路线1步骤5关键坐标数目：3
[119.318405,26.110365]
[119.31868,26.110937]
[119.318848,26.111246]
*****路线1步骤6关键坐标数目：2
[119.318848,26.111246]
[119.319092,26.111689]
