*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：8008米
*****路线1步骤1关键坐标数目：107
[119.215034,26.071003]
[119.214005,26.070759]
[119.212929,26.070517]
[119.212868,26.070499]
[119.211739,26.070234]
[119.209084,26.069614]
[119.209007,26.069601]
[119.207153,26.069176]
[119.205292,26.06875]
[119.204239,26.068502]
[119.203606,26.068359]
[119.202621,26.068129]
[119.202301,26.06806]
[119.201828,26.067978]
[119.201492,26.067951]
[119.201027,26.067947]
[119.200348,26.068022]
[119.199928,26.068121]
[119.199768,26.068165]
[119.199356,26.068312]
[119.199234,26.068356]
[119.199112,26.06842]
[119.198784,26.068621]
[119.197777,26.069288]
[119.197441,26.069496]
[119.197395,26.069527]
[119.197136,26.069679]
[119.193764,26.071779]
[119.193344,26.072044]
[119.193298,26.072075]
[119.192841,26.072361]
[119.192123,26.0728]
[119.191788,26.073011]
[119.191162,26.073412]
[119.190453,26.073858]
[119.189316,26.074579]
[119.186974,26.076033]
[119.186531,26.076302]
[119.186485,26.076332]
[119.18615,26.076563]
[119.183212,26.078407]
[119.182007,26.079153]
[119.181786,26.079285]
[119.181557,26.079439]
[119.181404,26.079571]
[119.181114,26.079878]
[119.181023,26.079983]
[119.180969,26.080044]
[119.180763,26.080282]
[119.18071,26.08036]
[119.180359,26.080776]
[119.179977,26.081249]
[119.17981,26.081467]
[119.179306,26.082153]
[119.178848,26.082705]
[119.178574,26.082987]
[119.17836,26.083199]
[119.178085,26.083437]
[119.177864,26.083607]
[119.177727,26.083715]
[119.177521,26.083858]
[119.177269,26.084015]
[119.176086,26.084682]
[119.175003,26.085281]
[119.174736,26.085424]
[119.174324,26.085655]
[119.173645,26.086033]
[119.173248,26.086285]
[119.172813,26.08658]
[119.172302,26.086979]
[119.172249,26.087023]
[119.171837,26.087349]
[119.17067,26.088255]
[119.170532,26.08835]
[119.170311,26.088472]
[119.170189,26.088533]
[119.169472,26.088932]
[119.169289,26.08902]
[119.168991,26.089157]
[119.168762,26.089254]
[119.168373,26.08938]
[119.167336,26.089779]
[119.167267,26.089779]
[119.164307,26.09096]
[119.163765,26.091181]
[119.163452,26.09132]
[119.163109,26.09148]
[119.162796,26.091661]
[119.162445,26.091892]
[119.162094,26.092171]
[119.162064,26.092232]
[119.161835,26.092443]
[119.161522,26.09277]
[119.161392,26.092964]
[119.160721,26.094311]
[119.160484,26.094723]
[119.160004,26.095669]
[119.159042,26.097439]
[119.158714,26.097925]
[119.158554,26.098146]
[119.158455,26.098251]
[119.155739,26.100187]
[119.154465,26.101137]
[119.154144,26.101437]
[119.151688,26.103216]
[119.151245,26.103533]
[119.15052,26.10405]
