*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：8015米
*****路线1步骤1关键坐标数目：105
[119.15049,26.103968]
[119.150536,26.103924]
[119.151161,26.103464]
[119.151596,26.103142]
[119.154083,26.101358]
[119.155693,26.100143]
[119.158417,26.098221]
[119.158661,26.097895]
[119.158997,26.097414]
[119.15995,26.095642]
[119.160431,26.094696]
[119.16066,26.094288]
[119.161331,26.092934]
[119.161476,26.092735]
[119.161789,26.092409]
[119.162025,26.092188]
[119.162094,26.092171]
[119.162445,26.091892]
[119.162796,26.091661]
[119.163109,26.09148]
[119.163452,26.09132]
[119.163765,26.091181]
[119.164307,26.09096]
[119.167267,26.089779]
[119.167313,26.089731]
[119.168106,26.089432]
[119.16835,26.089327]
[119.168587,26.089201]
[119.169334,26.088884]
[119.169716,26.088663]
[119.170105,26.088411]
[119.170227,26.088333]
[119.170555,26.088091]
[119.172104,26.08688]
[119.172134,26.086849]
[119.17276,26.086372]
[119.173157,26.086094]
[119.173744,26.085743]
[119.174248,26.085464]
[119.174835,26.085135]
[119.175964,26.084518]
[119.177048,26.083916]
[119.177597,26.083549]
[119.177719,26.08346]
[119.177849,26.083359]
[119.178223,26.083052]
[119.178696,26.082556]
[119.179131,26.082031]
[119.179703,26.081392]
[119.179878,26.081177]
[119.180611,26.080286]
[119.180779,26.080088]
[119.180832,26.080004]
[119.180885,26.079948]
[119.180923,26.079887]
[119.181213,26.079531]
[119.181625,26.079149]
[119.181839,26.078997]
[119.183083,26.07823]
[119.18425,26.077492]
[119.186005,26.07641]
[119.186386,26.076181]
[119.186859,26.075872]
[119.189201,26.074389]
[119.192047,26.072613]
[119.192688,26.072205]
[119.193176,26.071922]
[119.19323,26.071888]
[119.193649,26.071619]
[119.197029,26.069506]
[119.197258,26.069363]
[119.197311,26.069336]
[119.197655,26.069105]
[119.198334,26.068686]
[119.198471,26.068581]
[119.198647,26.068481]
[119.198898,26.068356]
[119.199165,26.068243]
[119.199272,26.068207]
[119.199844,26.068033]
[119.200104,26.067968]
[119.200294,26.06793]
[119.200592,26.0679]
[119.200935,26.067856]
[119.201103,26.067856]
[119.201355,26.067852]
[119.20179,26.067869]
[119.201996,26.06789]
[119.202545,26.068008]
[119.203423,26.068216]
[119.203629,26.068272]
[119.204254,26.068438]
[119.205315,26.068676]
[119.207169,26.069101]
[119.208366,26.069374]
[119.208977,26.069527]
[119.209045,26.06954]
[119.209602,26.06967]
[119.211769,26.070156]
[119.212852,26.070417]
[119.212914,26.070429]
[119.214027,26.070681]
[119.214966,26.070894]
[119.215057,26.070915]
[119.215096,26.070932]
