*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：1404米
*****路线1步骤1关键坐标数目：21
[119.305939,26.063538]
[119.305969,26.063545]
[119.306068,26.063568]
[119.306244,26.063589]
[119.306702,26.063616]
[119.308136,26.063654]
[119.308212,26.063663]
[119.309715,26.063711]
[119.31118,26.063759]
[119.312561,26.063789]
[119.313057,26.063807]
[119.313156,26.06382]
[119.31356,26.063871]
[119.314743,26.064054]
[119.315292,26.064154]
[119.315727,26.064236]
[119.316559,26.064415]
[119.317307,26.064566]
[119.319359,26.064983]
[119.319481,26.065008]
[119.319893,26.065092]
