*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：1545米
*****路线1步骤1关键坐标数目：34
[119.316612,26.087782]
[119.316902,26.087826]
[119.317207,26.087873]
[119.317375,26.087904]
[119.31765,26.087938]
[119.318344,26.088051]
[119.318695,26.088121]
[119.318939,26.088186]
[119.319031,26.088207]
[119.319183,26.088264]
[119.31942,26.08836]
[119.319633,26.088476]
[119.320297,26.088779]
[119.320816,26.088959]
[119.321167,26.089037]
[119.321335,26.089071]
[119.321495,26.089106]
[119.321976,26.089211]
[119.322205,26.089272]
[119.322449,26.089344]
[119.322708,26.089445]
[119.32357,26.089806]
[119.324516,26.0902]
[119.32531,26.090538]
[119.325722,26.090712]
[119.32618,26.090912]
[119.326317,26.090963]
[119.326607,26.091085]
[119.326736,26.091146]
[119.328369,26.091818]
[119.32901,26.0921]
[119.330261,26.092579]
[119.330658,26.092747]
[119.330971,26.09289]
