*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：1633米
*****路线1步骤1关键坐标数目：15
[119.24939,26.076618]
[119.249115,26.076679]
[119.24884,26.076784]
[119.248589,26.076883]
[119.248146,26.077091]
[119.247643,26.077318]
[119.245552,26.078281]
[119.245239,26.078415]
[119.245018,26.078499]
[119.244644,26.078594]
[119.244476,26.078625]
[119.244339,26.078638]
[119.244057,26.078632]
[119.243736,26.078581]
[119.243645,26.078533]
*****路线1步骤2关键坐标数目：17
[119.243645,26.078533]
[119.243317,26.078421]
[119.242561,26.078142]
[119.242432,26.078121]
[119.241737,26.077856]
[119.241302,26.077679]
[119.239876,26.077127]
[119.239014,26.076788]
[119.238472,26.076576]
[119.237846,26.076336]
[119.237534,26.076229]
[119.236839,26.076008]
[119.236023,26.075804]
[119.234856,26.075539]
[119.234581,26.075485]
[119.234322,26.07543]
[119.234222,26.07539]
