*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：4202米
*****路线1步骤1关键坐标数目：68
[119.306099,26.06366]
[119.306068,26.06365]
[119.305969,26.063633]
[119.305519,26.06349]
[119.304893,26.063269]
[119.304649,26.06319]
[119.304497,26.063139]
[119.304245,26.063078]
[119.303802,26.062986]
[119.303421,26.062946]
[119.302795,26.062939]
[119.302193,26.062929]
[119.301804,26.062922]
[119.301544,26.062916]
[119.301476,26.062912]
[119.299835,26.062874]
[119.299217,26.062857]
[119.298767,26.062857]
[119.297737,26.062838]
[119.296288,26.062817]
[119.29557,26.062813]
[119.295471,26.062817]
[119.295357,26.062838]
[119.29512,26.062895]
[119.295021,26.062922]
[119.294281,26.062922]
[119.293121,26.062904]
[119.291512,26.062838]
[119.289612,26.062773]
[119.289322,26.062756]
[119.288803,26.062752]
[119.288002,26.062735]
[119.287766,26.062748]
[119.287277,26.062803]
[119.287094,26.062838]
[119.286858,26.062904]
[119.286163,26.063156]
[119.285919,26.063246]
[119.284378,26.063845]
[119.282509,26.064575]
[119.282051,26.064756]
[119.281677,26.064922]
[119.281601,26.06497]
[119.281387,26.065113]
[119.281319,26.065165]
[119.281235,26.065247]
[119.281143,26.065355]
[119.281105,26.065413]
[119.281021,26.065538]
[119.280869,26.065821]
[119.280746,26.066072]
[119.279427,26.068689]
[119.279404,26.068737]
[119.279152,26.069258]
[119.279083,26.069384]
[119.278854,26.069799]
[119.278801,26.069925]
[119.278435,26.070642]
[119.278282,26.070946]
[119.277779,26.071945]
[119.27684,26.073832]
[119.276512,26.074484]
[119.276039,26.075434]
[119.275589,26.076315]
[119.275261,26.076975]
[119.275139,26.077223]
[119.274734,26.078012]
[119.274315,26.078812]
