*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：4200米
*****路线1步骤1关键坐标数目：2
[119.2742,26.078823]
[119.274216,26.078829]
*****路线1步骤2关键坐标数目：69
[119.274216,26.078829]
[119.274734,26.077795]
[119.275032,26.077192]
[119.275177,26.076927]
[119.275497,26.076263]
[119.27594,26.075396]
[119.276421,26.07445]
[119.276741,26.073793]
[119.277702,26.071915]
[119.278198,26.070911]
[119.278343,26.070625]
[119.278725,26.069887]
[119.278816,26.069714]
[119.279007,26.069345]
[119.27906,26.069223]
[119.279221,26.068928]
[119.279335,26.068707]
[119.280037,26.067266]
[119.280647,26.066032]
[119.280785,26.065777]
[119.280937,26.065495]
[119.281021,26.065361]
[119.281097,26.06526]
[119.281242,26.0651]
[119.281303,26.065042]
[119.281441,26.064926]
[119.281525,26.064865]
[119.2817,26.064783]
[119.282684,26.064402]
[119.28389,26.063923]
[119.284332,26.063755]
[119.285866,26.063156]
[119.286125,26.063065]
[119.286652,26.062864]
[119.286942,26.062778]
[119.287323,26.062695]
[119.287727,26.062653]
[119.288017,26.062635]
[119.288818,26.062656]
[119.289322,26.062653]
[119.289619,26.06266]
[119.290497,26.062687]
[119.292679,26.062778]
[119.293137,26.062796]
[119.294357,26.062813]
[119.294807,26.062799]
[119.295052,26.062782]
[119.295174,26.062761]
[119.295448,26.062717]
[119.295578,26.062708]
[119.296288,26.062714]
[119.297737,26.062742]
[119.298767,26.062761]
[119.299217,26.062769]
[119.299843,26.062782]
[119.301422,26.06283]
[119.301498,26.06283]
[119.301804,26.06283]
[119.302216,26.062834]
[119.302795,26.062843]
[119.303055,26.062843]
[119.303574,26.06286]
[119.303833,26.062899]
[119.304085,26.062946]
[119.304375,26.063017]
[119.30468,26.063103]
[119.305252,26.063316]
[119.305779,26.063498]
[119.305939,26.063538]
