*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：6429米
*****路线1步骤1关键坐标数目：94
[119.316589,26.087891]
[119.316528,26.087881]
[119.316368,26.087873]
[119.31604,26.087812]
[119.315155,26.087673]
[119.315056,26.087643]
[119.314377,26.087564]
[119.31295,26.087418]
[119.310486,26.087149]
[119.309029,26.087006]
[119.308571,26.086958]
[119.308258,26.086924]
[119.308136,26.086914]
[119.307861,26.086866]
[119.307411,26.086819]
[119.307068,26.086788]
[119.306694,26.086758]
[119.305954,26.086666]
[119.305229,26.086584]
[119.305115,26.086576]
[119.303795,26.086445]
[119.302856,26.086349]
[119.302361,26.086294]
[119.301025,26.086151]
[119.300224,26.086081]
[119.299507,26.085995]
[119.299309,26.085981]
[119.299217,26.085976]
[119.298645,26.085941]
[119.298386,26.08592]
[119.297562,26.085842]
[119.296722,26.085777]
[119.296219,26.085737]
[119.295715,26.085699]
[119.295105,26.085604]
[119.294876,26.08556]
[119.294182,26.085434]
[119.294044,26.085413]
[119.293396,26.085291]
[119.292152,26.085073]
[119.290085,26.084766]
[119.289291,26.084627]
[119.289215,26.08461]
[119.288536,26.084423]
[119.288116,26.084301]
[119.287552,26.08411]
[119.286659,26.083729]
[119.285965,26.083433]
[119.284615,26.082878]
[119.28434,26.08276]
[119.283104,26.082245]
[119.282623,26.082045]
[119.282341,26.081949]
[119.281799,26.081728]
[119.281288,26.081514]
[119.280678,26.081272]
[119.279915,26.080973]
[119.278252,26.080343]
[119.277893,26.080217]
[119.277382,26.08003]
[119.277054,26.079918]
[119.275322,26.079323]
[119.274254,26.078955]
[119.2742,26.078938]
[119.271873,26.078142]
[119.270988,26.077843]
[119.270096,26.077557]
[119.268661,26.077236]
[119.268211,26.077162]
[119.267708,26.07707]
[119.267151,26.076965]
[119.266701,26.076887]
[119.266251,26.076815]
[119.265114,26.076611]
[119.26429,26.076462]
[119.262848,26.076216]
[119.261719,26.07605]
[119.261574,26.076036]
[119.261253,26.076042]
[119.260941,26.076046]
[119.258575,26.076176]
[119.257851,26.07622]
[119.257355,26.076277]
[119.257187,26.076302]
[119.25705,26.076336]
[119.25692,26.076376]
[119.256767,26.076437]
[119.256546,26.076546]
[119.256302,26.076696]
[119.256096,26.076876]
[119.255798,26.077206]
[119.255554,26.07753]
[119.255203,26.078056]
[119.255066,26.078329]
