*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：4705米
*****路线1步骤1关键坐标数目：2
[119.254929,26.078278]
[119.254959,26.078281]
*****路线1步骤2关键坐标数目：75
[119.254959,26.078281]
[119.255119,26.077995]
[119.25547,26.077469]
[119.255722,26.077131]
[119.256004,26.076815]
[119.256149,26.076706]
[119.256371,26.076536]
[119.256615,26.076393]
[119.256729,26.076349]
[119.256943,26.076267]
[119.257118,26.07622]
[119.257309,26.076181]
[119.257484,26.076155]
[119.258575,26.076084]
[119.260139,26.075989]
[119.260918,26.07593]
[119.261253,26.075907]
[119.261459,26.075903]
[119.261642,26.075907]
[119.262985,26.07612]
[119.264305,26.076366]
[119.266266,26.076714]
[119.266716,26.076801]
[119.267174,26.076883]
[119.268295,26.07708]
[119.26889,26.077196]
[119.269341,26.077278]
[119.270096,26.077461]
[119.270439,26.077564]
[119.271019,26.077765]
[119.271889,26.078056]
[119.272934,26.078407]
[119.273262,26.078524]
[119.274216,26.078829]
[119.274292,26.078859]
[119.275368,26.079241]
[119.277054,26.079836]
[119.27739,26.079952]
[119.278145,26.080217]
[119.278275,26.080273]
[119.279083,26.080561]
[119.279594,26.080755]
[119.279953,26.080881]
[119.280243,26.081003]
[119.280952,26.081276]
[119.281334,26.081442]
[119.281746,26.081596]
[119.282372,26.081844]
[119.282639,26.081949]
[119.283104,26.082144]
[119.284302,26.082626]
[119.284637,26.08276]
[119.285988,26.083351]
[119.286713,26.083654]
[119.287621,26.084023]
[119.288559,26.084352]
[119.288963,26.084467]
[119.289238,26.084522]
[119.289322,26.084539]
[119.289543,26.084593]
[119.290123,26.084679]
[119.292206,26.084988]
[119.29287,26.0851]
[119.293419,26.085199]
[119.294128,26.085335]
[119.294205,26.085348]
[119.294899,26.085478]
[119.295105,26.085522]
[119.295639,26.085604]
[119.296234,26.085665]
[119.296722,26.085707]
[119.297707,26.085785]
[119.298401,26.085855]
[119.298645,26.085876]
[119.299179,26.085894]
