*****路线数目：1
*****路线1步骤数目：4
*****路线1路线长度：22795米
*****路线1步骤1关键坐标数目：156
[119.447693,25.990656]
[119.447311,25.99086]
[119.447098,25.990942]
[119.446648,25.99115]
[119.445122,25.991814]
[119.444618,25.992058]
[119.444389,25.992197]
[119.443626,25.992725]
[119.443504,25.992813]
[119.443314,25.99299]
[119.443123,25.993181]
[119.44236,25.99412]
[119.441406,25.995321]
[119.440033,25.996996]
[119.439964,25.997101]
[119.439667,25.997448]
[119.439636,25.997496]
[119.438835,25.99832]
[119.43795,25.999207]
[119.437798,25.999361]
[119.436684,26.000422]
[119.435677,26.001303]
[119.433159,26.003382]
[119.432686,26.003767]
[119.432144,26.004192]
[119.431488,26.004679]
[119.43116,26.004913]
[119.427238,26.007591]
[119.426682,26.007948]
[119.426331,26.008194]
[119.425049,26.009054]
[119.423691,26.010004]
[119.422607,26.010715]
[119.421822,26.01125]
[119.4216,26.011398]
[119.421364,26.011541]
[119.420639,26.011932]
[119.420021,26.012218]
[119.419632,26.012369]
[119.418472,26.012804]
[119.417816,26.013039]
[119.417763,26.013056]
[119.415192,26.014002]
[119.414528,26.01421]
[119.414253,26.01428]
[119.413986,26.014339]
[119.413437,26.014448]
[119.413017,26.014513]
[119.411896,26.014666]
[119.406197,26.015421]
[119.40554,26.01549]
[119.399872,26.015829]
[119.399788,26.015833]
[119.399078,26.015881]
[119.398361,26.015951]
[119.398102,26.015989]
[119.397408,26.016125]
[119.396858,26.016264]
[119.396179,26.016472]
[119.39592,26.016567]
[119.395294,26.016832]
[119.39505,26.016949]
[119.392746,26.018143]
[119.391769,26.018654]
[119.391525,26.018789]
[119.390953,26.01915]
[119.388229,26.021021]
[119.387047,26.021828]
[119.386574,26.022152]
[119.385437,26.022934]
[119.38533,26.022999]
[119.385002,26.023207]
[119.384323,26.023655]
[119.383957,26.023945]
[119.383713,26.024172]
[119.383453,26.024479]
[119.382965,26.025238]
[119.382805,26.025452]
[119.382637,26.025656]
[119.382446,26.025846]
[119.382256,26.02603]
[119.382042,26.026197]
[119.381927,26.026276]
[119.380882,26.026945]
[119.379929,26.027639]
[119.379723,26.027765]
[119.379517,26.027969]
[119.378586,26.029228]
[119.378418,26.029453]
[119.377892,26.030165]
[119.377518,26.030642]
[119.37722,26.030977]
[119.376915,26.031338]
[119.376549,26.031763]
[119.375587,26.032761]
[119.374619,26.033686]
[119.37429,26.033985]
[119.373627,26.034548]
[119.373192,26.034904]
[119.371979,26.035919]
[119.369942,26.037609]
[119.369606,26.037865]
[119.369217,26.038147]
[119.368423,26.038654]
[119.367882,26.03898]
[119.366371,26.039909]
[119.36599,26.040209]
[119.364769,26.041159]
[119.36467,26.041233]
[119.364357,26.041468]
[119.363869,26.041779]
[119.363571,26.041958]
[119.363052,26.042253]
[119.361427,26.043146]
[119.360519,26.043642]
[119.358627,26.044683]
[119.357544,26.045218]
[119.35685,26.04553]
[119.355728,26.045994]
[119.354889,26.046333]
[119.352608,26.047256]
[119.352516,26.047297]
[119.351562,26.047688]
[119.349983,26.048281]
[119.349442,26.048464]
[119.348434,26.048841]
[119.347359,26.049196]
[119.346802,26.049383]
[119.345695,26.049713]
[119.345085,26.049883]
[119.34333,26.050335]
[119.343231,26.050369]
[119.341927,26.050703]
[119.340904,26.050985]
[119.338768,26.051523]
[119.338493,26.051588]
[119.338211,26.051628]
[119.337502,26.051701]
[119.336235,26.05184]
[119.335678,26.05191]
[119.333298,26.052162]
[119.332809,26.052214]
[119.331879,26.052299]
[119.330933,26.052408]
[119.330833,26.052418]
[119.329514,26.052544]
[119.328842,26.052622]
[119.327469,26.052748]
[119.326775,26.052813]
[119.325226,26.052921]
[119.324524,26.052965]
[119.324112,26.052959]
[119.323593,26.052908]
[119.323524,26.052904]
[119.322365,26.052717]
[119.320938,26.0525]
*****路线1步骤2关键坐标数目：3
[119.320938,26.0525]
[119.3209,26.053347]
[119.320854,26.053864]
*****路线1步骤3关键坐标数目：94
[119.320694,26.053949]
[119.320183,26.053837]
[119.319443,26.053659]
[119.318977,26.053551]
[119.318573,26.053469]
[119.317795,26.053299]
[119.317223,26.05316]
[119.315102,26.052708]
[119.314667,26.052618]
[119.314575,26.052599]
[119.313751,26.052414]
[119.313522,26.052378]
[119.312256,26.052109]
[119.312096,26.052061]
[119.311577,26.051888]
[119.311073,26.05171]
[119.310989,26.05167]
[119.310837,26.051584]
[119.310783,26.051537]
[119.310173,26.051064]
[119.309998,26.050924]
[119.309906,26.050829]
[119.309837,26.05073]
[119.309784,26.050646]
[119.309753,26.050543]
[119.309723,26.050425]
[119.309715,26.050104]
[119.309685,26.049879]
[119.309639,26.049618]
[119.309586,26.049484]
[119.309372,26.049002]
[119.309029,26.048298]
[119.308952,26.048151]
[119.308807,26.04796]
[119.30854,26.047678]
[119.308319,26.047474]
[119.307671,26.046988]
[119.307495,26.046875]
[119.307198,26.046719]
[119.306816,26.046576]
[119.306526,26.046501]
[119.306335,26.046471]
[119.306129,26.046446]
[119.305519,26.046423]
[119.305229,26.046436]
[119.304916,26.046463]
[119.30455,26.046501]
[119.304306,26.046558]
[119.304039,26.046633]
[119.303291,26.04694]
[119.303101,26.04701]
[119.302948,26.047052]
[119.302567,26.047113]
[119.30217,26.047148]
[119.30172,26.047157]
[119.299812,26.047123]
[119.299339,26.047113]
[119.298836,26.047106]
[119.298332,26.04711]
[119.297951,26.047127]
[119.297607,26.047161]
[119.297089,26.047279]
[119.296822,26.047369]
[119.296547,26.047487]
[119.296143,26.047682]
[119.295815,26.047882]
[119.295525,26.048117]
[119.295364,26.04825]
[119.294754,26.048832]
[119.294098,26.049505]
[119.2939,26.049713]
[119.293655,26.049988]
[119.293327,26.05043]
[119.293053,26.050808]
[119.292946,26.050941]
[119.292816,26.051081]
[119.292503,26.051363]
[119.292313,26.051493]
[119.292076,26.051619]
[119.291908,26.051697]
[119.291145,26.051989]
[119.290726,26.052174]
[119.29026,26.052425]
[119.289963,26.052629]
[119.289635,26.05283]
[119.2892,26.053064]
[119.288177,26.053568]
[119.287849,26.053762]
[119.287621,26.053905]
[119.287209,26.054205]
[119.287033,26.05434]
[119.285332,26.055681]
[119.285118,26.05582]
[119.284897,26.055943]
*****路线1步骤4关键坐标数目：53
[119.284897,26.055943]
[119.284424,26.055984]
[119.283882,26.056093]
[119.28363,26.056158]
[119.283142,26.056303]
[119.282745,26.05645]
[119.281265,26.057093]
[119.279427,26.057865]
[119.278603,26.058372]
[119.278,26.058729]
[119.277534,26.058975]
[119.277336,26.059114]
[119.277084,26.059319]
[119.276878,26.059513]
[119.276711,26.059692]
[119.276451,26.060009]
[119.276138,26.060434]
[119.27552,26.061298]
[119.275467,26.061371]
[119.275223,26.061649]
[119.275101,26.061771]
[119.275017,26.061867]
[119.274864,26.06204]
[119.274612,26.062279]
[119.274216,26.062609]
[119.273422,26.063246]
[119.273041,26.063545]
[119.272102,26.064293]
[119.271843,26.064497]
[119.271698,26.06461]
[119.271614,26.064671]
[119.271507,26.064766]
[119.271317,26.064913]
[119.26915,26.066637]
[119.268707,26.067009]
[119.268417,26.06724]
[119.265732,26.069427]
[119.265327,26.06974]
[119.262497,26.071987]
[119.262375,26.072102]
[119.262222,26.072279]
[119.2621,26.072443]
[119.262024,26.072596]
[119.261978,26.072687]
[119.261719,26.073307]
[119.261703,26.073385]
[119.261665,26.073586]
[119.26165,26.073711]
[119.26162,26.074375]
[119.26162,26.07461]
[119.26165,26.075161]
[119.26165,26.075668]
[119.261642,26.075842]
