*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：4180米
*****路线1步骤1关键坐标数目：5
[119.284409,26.045031]
[119.28392,26.044384]
[119.28373,26.044128]
[119.283455,26.043741]
[119.283012,26.043077]
*****路线1步骤2关键坐标数目：54
[119.283012,26.043077]
[119.282898,26.043047]
[119.282104,26.041904]
[119.281754,26.041441]
[119.281425,26.041006]
[119.281006,26.040485]
[119.280678,26.040117]
[119.280479,26.039909]
[119.278664,26.038137]
[119.278328,26.037895]
[119.277809,26.037361]
[119.27755,26.037119]
[119.277008,26.036602]
[119.276512,26.036221]
[119.276039,26.035894]
[119.27562,26.035612]
[119.275208,26.035357]
[119.274582,26.034986]
[119.273888,26.034615]
[119.273178,26.034288]
[119.27272,26.034119]
[119.272568,26.034058]
[119.272049,26.033846]
[119.271088,26.03355]
[119.270294,26.033346]
[119.269958,26.033251]
[119.269615,26.033186]
[119.269333,26.033134]
[119.269028,26.033081]
[119.267517,26.032816]
[119.267242,26.032774]
[119.266403,26.032631]
[119.26458,26.032322]
[119.264511,26.032305]
[119.263535,26.032135]
[119.259819,26.031488]
[119.259377,26.031414]
[119.259247,26.031385]
[119.258835,26.031328]
[119.256104,26.030855]
[119.254761,26.030624]
[119.254257,26.030491]
[119.253571,26.030369]
[119.252701,26.030182]
[119.252151,26.030031]
[119.251686,26.029879]
[119.25116,26.029718]
[119.251076,26.029692]
[119.250748,26.029579]
[119.250153,26.029335]
[119.249741,26.029127]
[119.249458,26.028994]
[119.249107,26.028807]
[119.248802,26.028637]
