*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：4195米
*****路线1步骤1关键坐标数目：40
[119.248848,26.028534]
[119.249512,26.028875]
[119.249756,26.02898]
[119.250679,26.029371]
[119.251114,26.02957]
[119.251198,26.029606]
[119.251411,26.029701]
[119.252441,26.030008]
[119.253159,26.030182]
[119.253693,26.030291]
[119.25428,26.030399]
[119.254761,26.030504]
[119.255714,26.030703]
[119.256111,26.030777]
[119.257637,26.031042]
[119.258469,26.031162]
[119.2593,26.031301]
[119.259415,26.031338]
[119.260101,26.031441]
[119.263542,26.032053]
[119.264511,26.032227]
[119.264603,26.032244]
[119.267258,26.03269]
[119.267555,26.032743]
[119.269043,26.032999]
[119.269356,26.033056]
[119.269981,26.033173]
[119.270309,26.033216]
[119.271339,26.033438]
[119.272118,26.033672]
[119.272736,26.03389]
[119.272881,26.033955]
[119.273483,26.034237]
[119.274689,26.034836]
[119.274864,26.034931]
[119.275536,26.035343]
[119.276161,26.035776]
[119.276543,26.036051]
[119.276855,26.036306]
[119.277382,26.036776]
*****路线1步骤2关键坐标数目：13
[119.277382,26.036776]
[119.27858,26.037912]
[119.279465,26.038746]
[119.280571,26.039808]
[119.281212,26.040499]
[119.281677,26.041059]
[119.281906,26.041367]
[119.282249,26.041822]
[119.283127,26.043056]
[119.283264,26.043125]
[119.283379,26.043316]
[119.283669,26.043776]
[119.284508,26.044991]
