*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：4349米
*****路线1步骤1关键坐标数目：67
[119.288712,26.086567]
[119.288742,26.086346]
[119.288956,26.085495]
[119.289078,26.084978]
[119.289215,26.08461]
[119.289238,26.084522]
[119.289986,26.082773]
[119.290161,26.082331]
[119.290588,26.081341]
[119.290802,26.080833]
[119.290863,26.080555]
[119.290878,26.08046]
[119.290886,26.080303]
[119.290886,26.080235]
[119.290764,26.078741]
[119.290726,26.078251]
[119.290688,26.077539]
[119.29068,26.077253]
[119.290726,26.076628]
[119.290802,26.076267]
[119.290916,26.075777]
[119.291122,26.074982]
[119.291168,26.074722]
[119.291199,26.074505]
[119.291267,26.072365]
[119.291283,26.072184]
[119.291336,26.071857]
[119.291351,26.071802]
[119.291573,26.071207]
[119.29184,26.070395]
[119.292084,26.069618]
[119.292099,26.069574]
[119.292274,26.069128]
[119.292709,26.068138]
[119.293121,26.067253]
[119.293907,26.065651]
[119.294518,26.064531]
[119.294731,26.063984]
[119.294998,26.062977]
[119.295021,26.062922]
[119.295052,26.062782]
[119.295135,26.062418]
[119.295235,26.062136]
[119.295433,26.061636]
[119.29557,26.061394]
[119.295692,26.061186]
[119.295845,26.060976]
[119.296005,26.060778]
[119.296333,26.060291]
[119.296494,26.060057]
[119.2967,26.0597]
[119.296959,26.05925]
[119.29744,26.058332]
[119.298088,26.05711]
[119.298477,26.056358]
[119.298805,26.055685]
[119.298935,26.055344]
[119.299072,26.054926]
[119.299431,26.053755]
[119.299812,26.052456]
[119.299911,26.052153]
[119.29995,26.052105]
[119.300034,26.051949]
[119.300713,26.050781]
[119.300903,26.050482]
[119.301262,26.049892]
[119.301521,26.049484]
