*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：2672米
*****路线1步骤1关键坐标数目：37
[119.361404,26.089514]
[119.361458,26.089188]
[119.361572,26.088619]
[119.361702,26.087912]
[119.361771,26.087475]
[119.361855,26.086971]
[119.361938,26.086584]
[119.362068,26.086002]
[119.362083,26.085903]
[119.362427,26.084066]
[119.362633,26.082848]
[119.362709,26.082531]
[119.362724,26.08243]
[119.362793,26.082161]
[119.363052,26.080967]
[119.363159,26.080334]
[119.363243,26.079956]
[119.363762,26.077332]
[119.364021,26.075994]
[119.364426,26.073957]
[119.364792,26.072144]
[119.364975,26.071241]
[119.365295,26.069649]
[119.365364,26.069162]
[119.365379,26.068884]
[119.365379,26.068607]
[119.365364,26.068468]
[119.365288,26.068138]
[119.365242,26.068003]
[119.365105,26.067661]
[119.365044,26.067518]
[119.364967,26.067396]
[119.364853,26.06724]
[119.364464,26.066793]
[119.364204,26.066519]
[119.364044,26.066345]
[119.363731,26.06612]
