*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：5249米
*****路线1步骤1关键坐标数目：62
[119.362656,26.082525]
[119.362534,26.082521]
[119.361008,26.082466]
[119.360069,26.082453]
[119.358749,26.082413]
[119.358681,26.082413]
[119.35833,26.082399]
[119.358025,26.082392]
[119.356491,26.082361]
[119.353996,26.082296]
[119.353264,26.08227]
[119.352737,26.082266]
[119.352585,26.082273]
[119.352379,26.082262]
[119.351997,26.082239]
[119.350853,26.082191]
[119.350502,26.082178]
[119.350327,26.08217]
[119.3489,26.0821]
[119.348244,26.082048]
[119.346909,26.08201]
[119.346207,26.081984]
[119.345222,26.081923]
[119.344612,26.081902]
[119.344322,26.081888]
[119.343834,26.081879]
[119.3423,26.081818]
[119.341537,26.0818]
[119.339737,26.081749]
[119.337822,26.081684]
[119.337273,26.081663]
[119.335281,26.081541]
[119.334877,26.081528]
[119.334618,26.081524]
[119.334351,26.081518]
[119.332863,26.081467]
[119.332321,26.081446]
[119.331566,26.081415]
[119.331024,26.081392]
[119.328163,26.081324]
[119.326729,26.081276]
[119.326576,26.081272]
[119.326218,26.081259]
[119.32476,26.081211]
[119.324287,26.081184]
[119.320625,26.081038]
[119.320412,26.08102]
[119.320038,26.08099]
[119.319077,26.080912]
[119.318962,26.080908]
[119.317726,26.080824]
[119.316956,26.080772]
[119.316444,26.080738]
[119.31514,26.08066]
[119.314003,26.080591]
[119.313805,26.080578]
[119.312813,26.080513]
[119.312363,26.080486]
[119.312119,26.080456]
[119.311127,26.080261]
[119.310921,26.080217]
[119.310593,26.080177]
*****路线1步骤2关键坐标数目：2
[119.310593,26.080177]
[119.310104,26.080082]
