*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：5250米
*****路线1步骤1关键坐标数目：74
[119.31012,26.079956]
[119.310364,26.080017]
[119.311058,26.080166]
[119.311562,26.080265]
[119.311989,26.080343]
[119.312256,26.080378]
[119.313766,26.080482]
[119.314011,26.0805]
[119.315155,26.080564]
[119.316452,26.080647]
[119.316666,26.08066]
[119.317741,26.080721]
[119.31897,26.080799]
[119.319077,26.080803]
[119.319511,26.080833]
[119.320107,26.080885]
[119.320663,26.080925]
[119.323196,26.081038]
[119.324318,26.081085]
[119.324768,26.081102]
[119.326225,26.081146]
[119.326576,26.081163]
[119.326729,26.081167]
[119.327553,26.081194]
[119.328163,26.081207]
[119.328674,26.081224]
[119.329964,26.081249]
[119.330231,26.081249]
[119.331039,26.081272]
[119.331581,26.081289]
[119.332336,26.08131]
[119.33358,26.081341]
[119.334343,26.081371]
[119.334618,26.081381]
[119.334892,26.081388]
[119.335289,26.081402]
[119.335518,26.081406]
[119.336304,26.081446]
[119.337273,26.08149]
[119.33783,26.081514]
[119.338142,26.081537]
[119.338745,26.081554]
[119.339722,26.081596]
[119.341545,26.08168]
[119.342308,26.081711]
[119.343849,26.081776]
[119.344337,26.081797]
[119.344635,26.08181]
[119.345238,26.081841]
[119.346214,26.081884]
[119.346924,26.081923]
[119.347359,26.081932]
[119.3479,26.081957]
[119.348267,26.081987]
[119.3489,26.082001]
[119.350327,26.082062]
[119.350433,26.082062]
[119.350853,26.082079]
[119.352066,26.082109]
[119.352379,26.08213]
[119.352585,26.082148]
[119.352722,26.082148]
[119.353134,26.08217]
[119.356514,26.08227]
[119.357018,26.082293]
[119.35833,26.082314]
[119.358681,26.082327]
[119.358765,26.082331]
[119.359245,26.082344]
[119.360069,26.082365]
[119.361023,26.082392]
[119.362206,26.082422]
[119.362534,26.082426]
[119.362701,26.08243]
