*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：1956米
*****路线1步骤1关键坐标数目：45
[119.301331,26.139826]
[119.301384,26.13958]
[119.301407,26.139475]
[119.301598,26.138855]
[119.301788,26.138256]
[119.301903,26.137951]
[119.302017,26.137587]
[119.302185,26.137083]
[119.302429,26.136303]
[119.302483,26.136106]
[119.302528,26.135963]
[119.302567,26.135752]
[119.302589,26.135612]
[119.302605,26.13533]
[119.302605,26.135187]
[119.302589,26.134804]
[119.302551,26.134609]
[119.302521,26.134415]
[119.302116,26.132956]
[119.301994,26.132605]
[119.301857,26.132271]
[119.301689,26.131983]
[119.301437,26.131588]
[119.301247,26.131315]
[119.300972,26.130951]
[119.300674,26.130486]
[119.300644,26.130424]
[119.300293,26.129736]
[119.299545,26.128134]
[119.299377,26.127787]
[119.299202,26.127409]
[119.298958,26.126862]
[119.298874,26.126633]
[119.298836,26.126549]
[119.298782,26.126307]
[119.298767,26.126238]
[119.298752,26.126133]
[119.298729,26.125925]
[119.298729,26.125813]
[119.298729,26.125603]
[119.298729,26.125456]
[119.29879,26.124857]
[119.29879,26.124805]
[119.298889,26.123425]
[119.298927,26.122986]
