*****路线数目：1
*****路线1步骤数目：8
*****路线1路线长度：18646米
*****路线1步骤1关键坐标数目：105
[119.457886,26.00029]
[119.456039,26.000269]
[119.450096,26.000147]
[119.44825,26.00013]
[119.446754,26.000113]
[119.446404,26.000126]
[119.446121,26.000147]
[119.445816,26.000187]
[119.445572,26.000221]
[119.445206,26.000296]
[119.444801,26.000412]
[119.444542,26.0005]
[119.444351,26.000568]
[119.443916,26.000759]
[119.443436,26.001011]
[119.443123,26.001211]
[119.442917,26.00135]
[119.442642,26.001589]
[119.4422,26.002005]
[119.441086,26.003113]
[119.440224,26.003981]
[119.4384,26.005798]
[119.437057,26.007149]
[119.436928,26.007265]
[119.436646,26.007557]
[119.435509,26.008673]
[119.433334,26.010855]
[119.432961,26.011255]
[119.432655,26.01161]
[119.432327,26.012022]
[119.43219,26.012209]
[119.431946,26.012579]
[119.431702,26.012951]
[119.431458,26.013407]
[119.431129,26.014076]
[119.429749,26.016962]
[119.429184,26.018139]
[119.428612,26.019279]
[119.428299,26.019835]
[119.428055,26.020187]
[119.427719,26.020634]
[119.427429,26.020971]
[119.427338,26.02108]
[119.427132,26.02129]
[119.426857,26.021563]
[119.426514,26.021866]
[119.42585,26.022413]
[119.424774,26.023277]
[119.424721,26.023315]
[119.421478,26.025898]
[119.419998,26.027088]
[119.419647,26.027357]
[119.419044,26.027796]
[119.418465,26.028156]
[119.417831,26.028494]
[119.41745,26.028677]
[119.417152,26.028803]
[119.416756,26.02895]
[119.416306,26.029106]
[119.415901,26.029219]
[119.415359,26.029345]
[119.41465,26.029474]
[119.414055,26.029552]
[119.411522,26.029852]
[119.410934,26.029909]
[119.410362,26.02993]
[119.410049,26.029936]
[119.409737,26.029922]
[119.409302,26.029892]
[119.408829,26.029844]
[119.408157,26.029736]
[119.407547,26.029623]
[119.407372,26.029587]
[119.406921,26.029501]
[119.40564,26.029253]
[119.404007,26.02894]
[119.403397,26.028824]
[119.401924,26.028542]
[119.400948,26.028364]
[119.400536,26.028303]
[119.40049,26.028299]
[119.3992,26.028116]
[119.398979,26.02809]
[119.398491,26.028034]
[119.397705,26.027956]
[119.396965,26.027895]
[119.39637,26.027851]
[119.395607,26.027813]
[119.394356,26.027782]
[119.393089,26.027779]
[119.391678,26.0278]
[119.390358,26.027813]
[119.388283,26.027847]
[119.388,26.027874]
[119.387703,26.027912]
[119.387184,26.02803]
[119.386978,26.028095]
[119.386787,26.02816]
[119.38649,26.028299]
[119.386299,26.028402]
[119.386086,26.028534]
[119.385849,26.028715]
[119.385643,26.028893]
[119.385468,26.029058]
[119.385193,26.029335]
*****路线1步骤2关键坐标数目：6
[119.385193,26.029335]
[119.380905,26.03389]
[119.379929,26.034874]
[119.379547,26.035252]
[119.379265,26.035547]
[119.379005,26.035816]
