*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：1585米
*****路线1步骤1关键坐标数目：8
[119.316528,26.129219]
[119.316177,26.129015]
[119.316055,26.12895]
[119.31517,26.128481]
[119.314255,26.128017]
[119.314133,26.12796]
[119.313454,26.127617]
[119.312187,26.12697]
*****路线1步骤2关键坐标数目：19
[119.312187,26.12697]
[119.312042,26.126892]
[119.311546,26.126698]
[119.310913,26.126436]
[119.307899,26.12533]
[119.307564,26.125177]
[119.307396,26.125095]
[119.307167,26.124952]
[119.306946,26.124786]
[119.306648,26.124514]
[119.306541,26.124384]
[119.306404,26.124201]
[119.306183,26.12381]
[119.306099,26.123632]
[119.306061,26.123486]
[119.305969,26.123135]
[119.305954,26.122877]
[119.305946,26.122622]
[119.305954,26.120474]
