*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：4644米
*****路线1步骤1关键坐标数目：17
[119.364235,26.057434]
[119.36422,26.057444]
[119.359734,26.05954]
[119.359337,26.059696]
[119.35891,26.059839]
[119.358574,26.059921]
[119.357918,26.060057]
[119.356438,26.060343]
[119.355255,26.060591]
[119.353088,26.061054]
[119.352966,26.06115]
[119.352325,26.061285]
[119.351959,26.061293]
[119.350502,26.061602]
[119.349808,26.061731]
[119.349373,26.061779]
[119.348923,26.061806]
*****路线1步骤2关键坐标数目：57
[119.348923,26.061806]
[119.348785,26.061819]
[119.348312,26.061823]
[119.347954,26.061819]
[119.347443,26.061796]
[119.346519,26.061718]
[119.345856,26.061666]
[119.345642,26.061659]
[119.345329,26.061659]
[119.344246,26.061693]
[119.343803,26.061731]
[119.343536,26.061785]
[119.343399,26.061819]
[119.343285,26.061857]
[119.343002,26.061962]
[119.34285,26.062037]
[119.342606,26.06218]
[119.342453,26.062275]
[119.342308,26.062401]
[119.342239,26.062452]
[119.340698,26.063915]
[119.340218,26.064371]
[119.339691,26.064878]
[119.339378,26.065151]
[119.339272,26.065235]
[119.339043,26.065392]
[119.338799,26.065521]
[119.338547,26.065634]
[119.338333,26.065712]
[119.338158,26.065767]
[119.337852,26.065821]
[119.337585,26.065834]
[119.336998,26.065825]
[119.335854,26.065811]
[119.335678,26.065811]
[119.335434,26.065807]
[119.335289,26.065807]
[119.333801,26.065767]
[119.332581,26.065716]
[119.329826,26.065603]
[119.329514,26.065594]
[119.329361,26.065586]
[119.329033,26.065577]
[119.328842,26.065569]
[119.328781,26.065565]
[119.328545,26.065552]
[119.328163,26.065529]
[119.328018,26.065525]
[119.326889,26.065495]
[119.3255,26.065439]
[119.324402,26.065399]
[119.323448,26.065365]
[119.322998,26.065351]
[119.322632,26.065334]
[119.321404,26.06529]
[119.320663,26.065273]
[119.320297,26.065247]
