*****路线数目：1
*****路线1步骤数目：3
*****路线1路线长度：4650米
*****路线1步骤1关键坐标数目：42
[119.320107,26.065117]
[119.320229,26.06513]
[119.320671,26.065161]
[119.321411,26.065191]
[119.322639,26.065239]
[119.323006,26.065256]
[119.323456,26.065277]
[119.3255,26.065348]
[119.326889,26.065395]
[119.328018,26.065416]
[119.328316,26.06543]
[119.328552,26.065439]
[119.328804,26.065447]
[119.32888,26.065456]
[119.329048,26.06546]
[119.329361,26.065474]
[119.329529,26.065481]
[119.329826,26.065491]
[119.331734,26.065556]
[119.332619,26.06559]
[119.333794,26.065647]
[119.334991,26.065678]
[119.335289,26.065681]
[119.335434,26.065685]
[119.335693,26.065691]
[119.335861,26.065695]
[119.336128,26.065695]
[119.337189,26.065712]
[119.337677,26.065712]
[119.337997,26.065681]
[119.338264,26.065613]
[119.338509,26.065521]
[119.338638,26.065464]
[119.338989,26.065269]
[119.339325,26.065025]
[119.340118,26.064283]
[119.340584,26.06385]
[119.34153,26.062946]
[119.342133,26.062395]
[119.342239,26.062309]
[119.34243,26.062162]
[119.342552,26.062088]
*****路线1步骤2关键坐标数目：18
[119.342552,26.062088]
[119.34288,26.061914]
[119.343124,26.061806]
[119.343315,26.061745]
[119.343651,26.061663]
[119.343819,26.061632]
[119.344063,26.061611]
[119.344879,26.061571]
[119.345604,26.061558]
[119.345848,26.061567]
[119.34774,26.061718]
[119.34803,26.061724]
[119.348312,26.061718]
[119.348595,26.061714]
[119.348892,26.061697]
[119.349373,26.061649]
[119.349846,26.061584]
[119.351936,26.061176]
*****路线1步骤3关键坐标数目：9
[119.351936,26.061176]
[119.352913,26.060972]
[119.356422,26.060244]
[119.357887,26.059965]
[119.35894,26.059696]
[119.359566,26.059488]
[119.360016,26.059298]
[119.360367,26.059124]
[119.364166,26.057379]
