*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：2619米
*****路线1步骤1关键坐标数目：38
[119.265869,26.053598]
[119.265335,26.053225]
[119.265015,26.052996]
[119.264923,26.052925]
[119.264618,26.052713]
[119.263489,26.05191]
[119.262688,26.051363]
[119.262413,26.051172]
[119.262268,26.051098]
[119.262138,26.051046]
[119.261841,26.050951]
[119.261566,26.050877]
[119.260696,26.050652]
[119.260582,26.050621]
[119.259911,26.050465]
[119.259392,26.050356]
[119.258926,26.050287]
[119.258316,26.05022]
[119.257622,26.050203]
[119.257523,26.050209]
[119.257187,26.050213]
[119.25705,26.050213]
[119.256767,26.050213]
[119.254761,26.050243]
[119.25264,26.050278]
[119.252342,26.050282]
[119.250778,26.050318]
[119.249687,26.050329]
[119.249397,26.050335]
[119.249306,26.050339]
[119.248611,26.050352]
[119.247467,26.050373]
[119.245567,26.050407]
[119.245293,26.050417]
[119.244812,26.050421]
[119.243111,26.050455]
[119.241875,26.050482]
[119.2407,26.050503]
*****路线1步骤2关键坐标数目：2
[119.2407,26.050503]
[119.240662,26.050516]
