*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：2623米
*****路线1步骤1关键坐标数目：42
[119.240715,26.050413]
[119.241104,26.050394]
[119.241875,26.050386]
[119.244812,26.050329]
[119.245277,26.050322]
[119.245346,26.050322]
[119.245552,26.050322]
[119.247467,26.050282]
[119.248215,26.050261]
[119.248489,26.050261]
[119.249321,26.050247]
[119.249443,26.050247]
[119.249924,26.05024]
[119.252342,26.050192]
[119.25264,26.050186]
[119.253922,26.050165]
[119.254761,26.050148]
[119.256577,26.050121]
[119.257065,26.050117]
[119.257202,26.050114]
[119.257523,26.050114]
[119.257637,26.050114]
[119.257965,26.050108]
[119.258606,26.050152]
[119.259178,26.05022]
[119.259529,26.050282]
[119.25972,26.050318]
[119.260132,26.050407]
[119.261612,26.050785]
[119.261932,26.050873]
[119.262169,26.050945]
[119.262306,26.050989]
[119.262459,26.051054]
[119.262527,26.051094]
[119.262817,26.051298]
[119.263382,26.051701]
[119.264687,26.052622]
[119.264984,26.05283]
[119.265083,26.052895]
[119.265396,26.053108]
[119.2659,26.053429]
[119.265953,26.053476]
