*****路线数目：1
*****路线1步骤数目：2
*****路线1路线长度：2027米
*****路线1步骤1关键坐标数目：13
[119.27269,26.113941]
[119.273811,26.113949]
[119.273941,26.113945]
[119.274048,26.113911]
[119.274582,26.113523]
[119.274681,26.113485]
[119.274803,26.113464]
[119.275314,26.113424]
[119.27549,26.113411]
[119.275642,26.11338]
[119.275764,26.113342]
[119.275856,26.113295]
[119.276596,26.112808]
*****路线1步骤2关键坐标数目：39
[119.276596,26.112808]
[119.276581,26.112673]
[119.276596,26.1122]
[119.276665,26.111845]
[119.276688,26.111818]
[119.276833,26.111372]
[119.276886,26.111134]
[119.276924,26.110977]
[119.276978,26.110695]
[119.277008,26.110409]
[119.276978,26.109957]
[119.276886,26.109449]
[119.276772,26.109085]
[119.276527,26.108215]
[119.27652,26.108173]
[119.276474,26.108042]
[119.276451,26.107904]
[119.276443,26.10779]
[119.276459,26.107677]
[119.276489,26.107569]
[119.276596,26.107265]
[119.276581,26.10714]
[119.276649,26.107027]
[119.276833,26.10685]
[119.277016,26.106684]
[119.277649,26.106133]
[119.278557,26.105204]
[119.279465,26.104279]
[119.279854,26.103872]
[119.280518,26.103203]
[119.280792,26.102917]
[119.281181,26.102488]
[119.281441,26.102226]
[119.281746,26.101927]
[119.282326,26.10145]
[119.282585,26.101297]
[119.282776,26.101206]
[119.282898,26.101175]
[119.283333,26.101116]

*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：852米
*****路线1步骤1关键坐标数目：19
[119.283783,26.101103]
[119.284439,26.101103]
[119.285622,26.101099]
[119.286438,26.10111]
[119.286942,26.10111]
[119.287712,26.10111]
[119.288986,26.101116]
[119.289238,26.101103]
[119.289444,26.101063]
[119.289566,26.101028]
[119.289612,26.101021]
[119.289703,26.100973]
[119.289818,26.100906]
[119.289993,26.10076]
[119.290207,26.100555]
[119.290489,26.100273]
[119.290634,26.100126]
[119.29097,26.099783]
[119.291496,26.099293]
