*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：1551米
*****路线1步骤1关键坐标数目：21
[119.32618,26.090885]
[119.326195,26.090429]
[119.326286,26.088242]
[119.326324,26.087084]
[119.326355,26.086546]
[119.32637,26.086176]
[119.326408,26.085186]
[119.326416,26.08494]
[119.326424,26.084457]
[119.326424,26.084305]
[119.326492,26.082926]
[119.326508,26.082603]
[119.326576,26.081272]
[119.326576,26.081163]
[119.32663,26.080282]
[119.326683,26.079306]
[119.326698,26.079149]
[119.32679,26.077679]
[119.326797,26.077652]
[119.326805,26.077335]
[119.326828,26.076859]
