*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：6722米
*****路线1步骤1关键坐标数目：112
[119.294304,26.034081]
[119.29409,26.034349]
[119.293907,26.034567]
[119.293686,26.03484]
[119.292824,26.035891]
[119.292587,26.036112]
[119.292503,26.03618]
[119.292168,26.036394]
[119.291908,26.03651]
[119.291664,26.036592]
[119.291214,26.036728]
[119.290314,26.036949]
[119.289444,26.03714]
[119.288475,26.037304]
[119.287743,26.037439]
[119.286873,26.037565]
[119.286583,26.037626]
[119.286392,26.037682]
[119.286209,26.037748]
[119.285934,26.037872]
[119.285538,26.038099]
[119.285278,26.038307]
[119.283936,26.039297]
[119.282616,26.040264]
[119.282394,26.04043]
[119.281837,26.040821]
[119.2817,26.04092]
[119.281372,26.041145]
[119.280571,26.041697]
[119.28022,26.041996]
[119.280014,26.042175]
[119.279686,26.042505]
[119.279549,26.042635]
[119.279259,26.042959]
[119.279129,26.043125]
[119.277588,26.045057]
[119.276909,26.045986]
[119.276855,26.046068]
[119.27581,26.047569]
[119.27549,26.048004]
[119.275177,26.048338]
[119.274704,26.048801]
[119.273415,26.0501]
[119.272606,26.050917]
[119.272202,26.051311]
[119.27198,26.051537]
[119.271652,26.051914]
[119.271545,26.052036]
[119.271416,26.052193]
[119.271317,26.052299]
[119.270988,26.052704]
[119.269936,26.053972]
[119.269478,26.054514]
[119.269234,26.054823]
[119.269066,26.055048]
[119.268814,26.055347]
[119.268593,26.05562]
[119.268456,26.05579]
[119.268227,26.056042]
[119.267899,26.056402]
[119.267303,26.057079]
[119.265984,26.058477]
[119.265205,26.059301]
[119.264854,26.059696]
[119.26458,26.060009]
[119.263901,26.060873]
[119.263489,26.061394]
[119.263351,26.061544]
[119.263176,26.061779]
[119.262596,26.06251]
[119.262283,26.06286]
[119.261818,26.063351]
[119.261215,26.063946]
[119.260521,26.064653]
[119.260269,26.064865]
[119.260101,26.064974]
[119.259804,26.06514]
[119.259621,26.065216]
[119.259476,26.065269]
[119.258713,26.065487]
[119.258163,26.065647]
[119.257988,26.065702]
[119.257874,26.065742]
[119.257637,26.065855]
[119.257355,26.066019]
[119.257256,26.066086]
[119.257019,26.066263]
[119.256508,26.066671]
[119.255783,26.067244]
[119.254761,26.067991]
[119.252876,26.06937]
[119.252533,26.069632]
[119.252411,26.069752]
[119.252312,26.069843]
[119.252266,26.069901]
[119.25222,26.069939]
[119.252106,26.07007]
[119.251945,26.070286]
[119.25177,26.070551]
[119.251297,26.071424]
[119.250153,26.073511]
[119.24987,26.074011]
[119.249725,26.07431]
[119.249672,26.07444]
[119.24958,26.074657]
[119.249535,26.074875]
[119.249474,26.075134]
[119.249458,26.075373]
[119.249458,26.075777]
[119.249489,26.076216]
[119.249496,26.076288]
[119.249535,26.076509]
