*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：6726米
*****路线1步骤1关键坐标数目：113
[119.249367,26.076509]
[119.249344,26.07645]
[119.249321,26.076376]
[119.249298,26.07626]
[119.24929,26.076111]
[119.249252,26.075773]
[119.249237,26.07563]
[119.249237,26.075312]
[119.249268,26.075165]
[119.249306,26.074991]
[119.249344,26.074862]
[119.249428,26.074627]
[119.249565,26.074389]
[119.249786,26.073963]
[119.250069,26.073456]
[119.251213,26.071377]
[119.251411,26.070993]
[119.25177,26.070356]
[119.251953,26.070118]
[119.252205,26.069826]
[119.252357,26.069683]
[119.252792,26.069336]
[119.253281,26.068975]
[119.254761,26.067896]
[119.255646,26.067247]
[119.256462,26.06661]
[119.257111,26.066093]
[119.257446,26.065872]
[119.257683,26.065756]
[119.257866,26.065681]
[119.258698,26.06543]
[119.259407,26.065229]
[119.259682,26.06513]
[119.259949,26.064991]
[119.260185,26.06484]
[119.260391,26.064671]
[119.260818,26.064253]
[119.261162,26.063906]
[119.261978,26.063065]
[119.262238,26.06279]
[119.262405,26.062609]
[119.262657,26.062305]
[119.263824,26.060833]
[119.264343,26.060186]
[119.26461,26.05987]
[119.264999,26.059427]
[119.265991,26.058376]
[119.266991,26.057322]
[119.267822,26.056379]
[119.268158,26.055994]
[119.268486,26.055637]
[119.268753,26.055313]
[119.269028,26.054943]
[119.269424,26.054474]
[119.270226,26.053493]
[119.270905,26.052618]
[119.271095,26.052378]
[119.271149,26.052322]
[119.271339,26.052084]
[119.271561,26.051819]
[119.271965,26.051376]
[119.273315,26.050005]
[119.27462,26.048723]
[119.2752,26.048138]
[119.275383,26.047939]
[119.275681,26.047552]
[119.276505,26.046328]
[119.276733,26.04598]
[119.276802,26.045898]
[119.276978,26.04565]
[119.277222,26.045317]
[119.278175,26.044128]
[119.278366,26.04388]
[119.278908,26.043207]
[119.279236,26.042799]
[119.279449,26.042557]
[119.279701,26.042313]
[119.279984,26.042053]
[119.280289,26.041779]
[119.280472,26.041628]
[119.281235,26.040968]
[119.281548,26.040743]
[119.281677,26.040659]
[119.28186,26.040543]
[119.282219,26.040274]
[119.282639,26.039961]
[119.282883,26.039801]
[119.283745,26.039154]
[119.284721,26.038563]
[119.284958,26.038403]
[119.28537,26.03809]
[119.285744,26.037855]
[119.285988,26.037725]
[119.286163,26.037661]
[119.286316,26.0376]
[119.286491,26.037548]
[119.287415,26.037371]
[119.28772,26.037327]
[119.289253,26.037058]
[119.289742,26.036963]
[119.291161,26.036627]
[119.291649,26.036507]
[119.29184,26.036436]
[119.292046,26.03635]
[119.292168,26.036276]
[119.292427,26.036098]
[119.292709,26.035837]
[119.2929,26.035625]
[119.293297,26.035152]
[119.293571,26.034805]
[119.293892,26.03441]
[119.293976,26.034296]
[119.294182,26.034023]
