*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：2746米
*****路线1步骤1关键坐标数目：22
[119.336197,26.056158]
[119.33651,26.056059]
[119.3368,26.055973]
[119.337967,26.055607]
[119.339272,26.055225]
[119.340866,26.054739]
[119.342049,26.054392]
[119.343941,26.053864]
[119.344215,26.053776]
[119.344322,26.053745]
[119.344803,26.053595]
[119.347755,26.052717]
[119.349319,26.052319]
[119.350677,26.051918]
[119.353523,26.051046]
[119.354202,26.050829]
[119.354309,26.050802]
[119.35498,26.050617]
[119.359337,26.049427]
[119.359543,26.049376]
[119.36203,26.048698]
[119.362411,26.048603]
