*****路线数目：1
*****路线1步骤数目：1
*****路线1路线长度：4293米
*****路线1步骤1关键坐标数目：40
[119.336716,26.020439]
[119.336906,26.020447]
[119.337311,26.020473]
[119.33799,26.020576]
[119.338387,26.020695]
[119.338921,26.020872]
[119.339233,26.021002]
[119.339775,26.021259]
[119.34008,26.02142]
[119.340401,26.021614]
[119.340919,26.021961]
[119.342926,26.023407]
[119.343262,26.023676]
[119.343651,26.023951]
[119.344025,26.024223]
[119.344612,26.024666]
[119.345085,26.025074]
[119.345322,26.025295]
[119.345657,26.025621]
[119.345802,26.025778]
[119.34623,26.026262]
[119.346558,26.026667]
[119.348465,26.029062]
[119.348854,26.029562]
[119.350266,26.031315]
[119.352341,26.033928]
[119.353058,26.034809]
[119.355118,26.037439]
[119.355904,26.038498]
[119.356873,26.039892]
[119.357498,26.040781]
[119.35891,26.042791]
[119.36013,26.044565]
[119.360382,26.04496]
[119.361473,26.046675]
[119.361626,26.046944]
[119.36274,26.048763]
[119.36293,26.049101]
[119.363174,26.049492]
[119.36335,26.049744]
